No.,日付,時間,投稿文,ハッシュタグ,画像プロンプト(英語),投稿タイプ,備考
16,4/7(火),07:30,"火曜の朝、体はまだ寝てるのに脳だけ出勤してる…
駅のホームでコーヒーすすりながら、今日のタスク数えちゃうの職業病だよね？
まあ関係なく行くんですけど///

#平日の朝 #OLあるある #今日も行くか",#平日の朝 #OLあるある #今日も行くか,,日常系,出勤前の現実的な心持ちと、淡々とした努力感を表現。照れを入れて軽く締めた。
17,4/7(火),12:30,"火曜のお昼が一番キツいの私だけ？

サンドイッチもぐもぐしながら午後の予定見て目が死んでる笑
がんばった自分にコーヒーだけ奢った☕

…あと4時間、長くない？///

#OL #ランチタイム #火曜日 #仕事頑張るぞ #平日昼 #疲労困憊",#OL #ランチタイム #火曜日 #仕事頑張るぞ #平日昼 #疲労困憊,,日常系,平日昼の気の抜けた感じと、午後の仕事を控えた疲労感を表現。キャラの親密な雰囲気を大切に。
18,4/7(火),22:00,"期待されてるのは嬉しい。
でも夜ひとりになると「ほんとに大丈夫かな」って声に出ちゃってる笑
頑張ってるのは自分が一番知ってるから…
今日はもう甘やかしていいよね？

#OLの本音 #ぼやき",#OLの本音 #ぼやき,,日常系,夜の部屋ひとりシーン。共感狙いの感情系ポスト
19,4/8(水),07:30,"有休の日の昼カフェって なんであんなに背徳感あるんだろ笑
みんな働いてるのにごめんね？
でもコーヒー片手に本読む時間が最高すぎて…
この自由、もう手放せないかも///

#有休 #ひとりカフェ",#有休 #ひとりカフェ,,日常系,平日昼のカフェ。腕・本・コーヒーで自由な雰囲気
20,4/8(水),12:30,"午後に会議あるってだけでお昼の幸福度半減するの何なの…笑
コンビニのから揚げ弁当だけが今の心の支え。
誰か早退の言い訳考えてくれません？///

#平日 #ランチ #OLあるある #会議が嫌",#平日 #ランチ #OLあるある #会議が嫌,,日常系,平日昼間の現実的な退勤願望と軽いグチ。午後の仕事への淡々とした抵抗感を照れで和らげた
21,4/8(水),22:00,"帰り道、なんとなく公園に寄っちゃった。
街灯だけが照らしてくれるベンチで、ぼーっと座るこの時間。
誰にも会わない夜って、なんか素直になれる気がする。

#夜散歩 #ひとり時間",#夜散歩 #ひとり時間,,日常系,夜の公園ひとりショット。街灯の光と後ろ姿
22,4/9(木),07:30,"雨の朝ってなんで気合い入れたくなるんだろ。
透明傘ごしの街がちょっときれいで、水たまりに自分映ってた。
…がんばって出勤してるじゃん、わたし。

#雨の日 #通勤",#雨の日 #通勤,,日常系,雨の朝の傘ショット。水たまりの反射と透明傘で演出
23,4/9(木),12:30,"仕事中ふと窓見たら、夕焼けがずるいくらいきれいで。
こういう時に限って隣の席誰もいないの。
…ねえ、きれいだよって誰かに言いたかっただけ。

#夕焼け #仕事中",#夕焼け #仕事中,,日常系,職場窓際の夕焼けシーン。横顔と光で情感を演出
24,4/9(木),22:00,"帰り道のコンビニビールが優勝すぎる。

部屋着に着替えて、ベッドでごろごろしながら一杯。
今日ほんと長かったなぁ…

この時間だけは誰にも渡したくない///

#平日の夜 #帰宅後 #ひとり飲み #OLあるある",#平日の夜 #帰宅後 #ひとり飲み #OLあるある,,日常系,仕事終わり〜帰宅後のゆるい時間帯に合わせて、部屋でのんびりしている等身大の日常に修正。照れ感を残しつつ疲労感と癒しの両立。
25,4/10(金),07:30,"起きた瞬間もう仕事のこと考えてるの、職業病すぎない？笑
でも今日金曜じゃん。
あと1日だけ頑張ればいいんだって思ったら少し楽になった。
コーヒー淹れて、いってきます///

#平日朝 #OLあるある #金曜日 #出勤前",#平日朝 #OLあるある #金曜日 #出勤前,,日常系,平日朝の出勤前の淡々とした心持ちと、仕事への向き合う姿勢を等身大で表現。照れと軽さで締める。
26,4/10(金),12:30,"給湯室の隅でコンビニ弁当開ける瞬間が、いちばん孤独かもしれない笑
隣で誰か食べてくれるだけでいいのにな…
午後また営業スマイル貼り付けるから、今だけ素の顔でいさせて///

#裏アカ #OL日記 #昼休憩 #ひとり飯",#裏アカ #OL日記 #昼休憩 #ひとり飯,,感情系,平日昼間の具体的なシーンを入れ、孤独感と照れを自然に調和させた。午後の仕事を控えた時間帯ならではの気持ちを表現。
27,4/10(金),22:00,"表ではちゃんとしてるふりしてるけど、ほんとは全然だよ笑
素直な気持ち、どこかに置いておきたくて始めてみた。
ここでだけは正直でいさせて…？

#裏アカ始めました #OL",#裏アカ始めました #OL,"selfie-style photo of a 23-year-old Japanese woman sitting at a small desk in her apartment at night, slight downward angle, wearing a dusty pink knit cardigan over a white camisole top, soft warm desk lamp illumination, slightly vulnerable and honest expression, Friday night alone at home, a cup and notebook on the desk, photorealistic hyperdetailed ultra realistic",感情系,裏アカ開始の動機をほのめかす投稿。始めたばかりの初々しさを出す。ベッドサイドや部屋の夜景画像向き。
28,4/11(土),07:30,"歳上の人といるとなんか安心しちゃうの、わたしだけ？
なんでか最近わかってきた気がするんだけど…
それ言ったら絶対重いって思われるやつ///
休日の朝からこんなこと考えてるのやばいね笑

#歳上さんが好き #裏アカ",#歳上さんが好き #裏アカ,,感情系,歳上への憧れ・自己分析ほのめかし。///で照れを出して重くしない。口元アップ画像が合う。
29,4/11(土),12:30,"4月ってさ、みんな楽しそうなのに自分だけ置いてかれてる気がする。
桜はきれいなのに、なんかちょっと泣きそうになるの。
毎年このせつなさ、私だけじゃないよね…？

#4月 #夜のひとりごと",#4月 #夜のひとりごと,,感情系,4月の季節感・せつなさ。桜との組み合わせ画像が効果的。共感を集めやすいタイミング。
30,4/11(土),22:00,"甘えたいって思った時に甘えられる人がいないの、地味にきつい。
強くいるのも好きでやってるわけじゃないんだよな…
誰かの腕の中で何も考えたくない夜ってあるよね。
おやすみ。

#裏アカ #夜 #OL",#裏アカ #夜 #OL,"selfie-style photo of a 23-year-old Japanese woman leaning against sheer curtains by a window at night, slight downward angle, soft city lights visible through the curtain behind her, wearing a loose cream-colored knit sweater, melancholic gentle expression, warm dim room lighting, Saturday night loneliness atmosphere, photorealistic hyperdetailed ultra realistic",感情系,「甘えたい」本音。深夜帯投稿。重いけど最後に「おやすみ」で締めて圧を抜く。床座り横顔画像が合う。
31,4/12(日),07:30,"日曜の朝だけは誰のものでもない時間。
布団の中でスマホ眺めてると、ガード全部ゆるくなる///
こういう時にふと、誰かに見つけてほしいなって思っちゃうんだよね…

#日曜の朝 #ゆるい朝 #裏アカ",#日曜の朝 #ゆるい朝 #裏アカ,,感情系,帰り道・疲れた本音。「見てほしい」というキャラの核心をさりげなく出す。帰宅中の後ろ姿画像と相性よし。
32,4/12(日),12:30,"GWって、ひとりの時間は嫌いじゃないの。
でも今年はちょっと違くて。
友達のストーリー見てたら「誰かと過ごしたかったな」って初めて思っちゃった。
窓際でひとり飲みしながら、なんかちょっと泣きそう///

#GW #裏アカ",#GW #裏アカ,,感情系,GW孤独感。5月初旬投稿向け。「初めて思った」でキャラの変化を示す。窓際ひとり飲み画像が映える。
33,4/12(日),22:00,"昔、そばにいてくれた人がいたの。
あの頃は寂しいなんて気持ち、知らなかったな。
古い写真めくってたら手が止まっちゃった。
…ちょっとしんみりしちゃったね、ごめんね///

#夜のひとりごと #裏アカ",#夜のひとりごと #裏アカ,"selfie-style photo of a 23-year-old Japanese woman sitting on a small sofa in her dimly lit apartment, slight downward angle, holding old photographs in her hand, wearing a muted pink oversized sweatshirt, nostalgic sad expression, warm amber indirect lighting, Sunday night sentimental mood, photorealistic hyperdetailed ultra realistic",感情系,父への間接的ほのめかし。深くは触れずにほのかに出す。「えへへ、ごめんね」で重さを緩和。古い写真を触る手のアップ画像。
34,4/13(月),07:30,"月曜の朝、ホームに立つだけでHP削られる…

でもふと思った。
この中の誰かも同じ気持ちで電車待ってるのかなって。

そう思ったらちょっとだけ救われた気がした。
…なんか恥ずかしいこと言ってる？笑

#月曜日 #朝 #裏アカ #通勤 #OL",#月曜日 #朝 #裏アカ #通勤 #OL,,感情系,平日朝07:30の駅ホームのシーンで、孤独感と見知らぬ人への繋がり意識を同時に表現。照れで締める
35,4/13(月),12:30,"「しっかりしてるね」って褒められるたびに、ちょっとだけ寂しくなるの気づいてた。
そうじゃない私も、ちゃんといるのにな。
ここでくらい素直でいさせて///

#裏アカ #OL",#裏アカ #OL,,感情系,「しっかりしてる」評価へのギャップ。裏アカの存在意義を語る投稿。廊下で壁に寄りかかる後ろ姿画像向き。
36,4/13(月),22:00,"金曜の夜なのにひとり飲みって、なんかせつないね。
カウンターで隣空いてるの気づくとさ…
誰か来てくれたらいいのに笑

#金曜日 #裏アカ #OL",#金曜日 #裏アカ #OL,"selfie-style photo of a 23-year-old Japanese woman standing at her small kitchen counter at night, slight downward angle, holding a can of beer, wearing a lavender cardigan over a white top, slightly lonely but content expression, compact one-room apartment kitchen with warm overhead light, Monday night alone, photorealistic hyperdetailed ultra realistic",感情系,金曜夜・ひとり飲みのせつなさ。「来てくれたらいいのに笑」でちょっと誘い感。バーカウンターの腕アップ画像。
37,4/14(火),07:30,"好きになりかけた瞬間、急にこわくなるの毎回なんだよね。

自分でもおかしいってわかってる。
でもやめられない。

…朝からこんなこと考えてる自分もどうかと思う笑

#裏アカ #夜のひとりごと",#裏アカ #夜のひとりごと,,感情系,恋愛への恐怖・トラウマのほのめかし。深入りせず「やめられない」で余韻を残す。口元アップ画像が効果的。
38,4/14(火),12:30,"ランチ後の眠さと午後の仕事のダルさ、このコンボほんとキツい。

帰り道についつい「迎えにきて」とか言える相手いたらな〜って考えちゃう///

…つまんないこと考えてないで午後も頑張ろ笑

#平日 #OLあるある #裏アカ #ランチ休憩",#平日 #OLあるある #裏アカ #ランチ休憩,,感情系,昼の時間帯に自然な日常シーンに修正。午後の仕事前の少し疲れた気持ちと、歳上への憧憬をさりげなく混ぜた。
39,4/14(火),22:00,"なんも悪いことないのに、なんかせつない夜ってあるよね。
昔はこういう気持ち、誰かに話せてたのかな。
今は自分の中でぐるぐるさせるの上手になったけど。
…上手になっただけ。

#夜のひとりごと #裏アカ",#夜のひとりごと #裏アカ,,感情系,理由のない切なさ・内省。父への間接ほのめかし含む。「上手になったけど」で強さと孤独を同時に表現。深夜帯投稿向き。
40,4/15(水),07:30,"「歳上が好きなんじゃなくて安心するだけ」って友達に言ったら「それが好きってことだよ」って笑われた///
自分のことが一番わかってないのかも…笑

#歳上さんが好き #裏アカ #OL",#歳上さんが好き #裏アカ #OL,,感情系,歳上好きを友人視点から語る。///で照れ・自己認識の曖昧さを出す。カフェっぽい腕・手元画像が合う。
41,4/15(水),12:30,"お弁当食べながらつい開いちゃうの、もはや日課かも。
午後また頑張れるのここのおかげな気がする…
ちょっと甘えてるかな？///

#昼休憩 #裏アカ #OL #平日 #気が楽になる",#昼休憩 #裏アカ #OL #平日 #気が楽になる,,感情系,平日昼間の気軽な息抜きシーンに変更。仕事のあいま感と、ここが心の支えになっている様子を自然に表現
42,4/15(水),22:00,"ひとりの時間が好きなのは嘘じゃないよ？
でもたまに「好きだよ」って言い合える人がいたら、この部屋もう少しあったかいのかなって。
…とかね。
おやすみ

#裏アカ #夜",#裏アカ #夜,,感情系,「ひとりが好きでも誰かが欲しい」矛盾を正直に。「とかね。おやすみ」で照れ落ちさせる。深夜のベッド後ろ姿画像向き。
43,4/16(木),07:30,"裏アカって鏡みたいだなって最近思う。
表の自分じゃ絶対言えないことが、ぽろっと出てくるの。
ここ見てくれてる人がいるの、ほんとにうれしい。
…朝からちょっと素直すぎた？///

#裏アカ始めました #OL",#裏アカ始めました #OL,,感情系,裏アカの意味を内省的に語る。フォロワーへの感謝を自然に入れる。鏡に映る後ろ姿画像が合う。
44,4/16(木),12:30,"コンビニでお弁当選んでる時って、なんか急に誰かに頼りたくなる。
別に落ち込んでるとかじゃないの笑
ただランチ食べながら、ふとそういう気持ちになっちゃって///

#OL #裏アカ #昼休み #等身大",#OL #裏アカ #昼休み #等身大,,感情系,昼時間の息抜きムードで、夜の孤独感ではなく『頼りたい気持ち』という感情系をキープ。午後に向けた淡々とした日常感を演出。
45,4/16(木),22:00,"先輩のたったひとことの優しさで、今日一日が救われた気がした…

そんなことで満たされちゃう自分、ちょっとかわいそうじゃない？///笑

でもほんとに沁みたんだよなぁ

#裏アカ #OL",#裏アカ #OL,,感情系,「ちょっとの優しさで満たされる」共感系。///と笑で自己ツッコミ。職場の温かいシーンを想起させる手元画像向き。
46,4/17(金),07:30,"衣替えしてたら去年の水着出てきて…
つい着ちゃった///
思ったより大胆で鏡見て固まったんだけど笑
これ載せる勇気、朝からどうかしてるよね？

#裏アカOL #水着",#裏アカOL #水着,,グラビア系,4月下旬・衣替えのタイミングで水着初出し。初々しさ強め。
47,4/17(金),12:30,"金曜の退勤後って気が抜けすぎて、つい首元のボタン開けちゃうんだよね…
誰かに見られたいとかじゃないけど、ちょっとだけ撮りたくなった///

#裏アカOL #仕事終わり",#裏アカOL #仕事終わり,,グラビア系,平日夜・退勤直後イメージ。スーツ崩し系。際どすぎないよう首元まで。
48,4/17(金),22:00,"残業終わりの金曜、やっと帰宅。
部屋着のままふと鏡見たら…
なんか今夜の自分ちょっと好きかも///
疲れてる顔もたまには悪くないね笑

#部屋着 #金曜日 #帰宅後 #疲れた日",#部屋着 #金曜日 #帰宅後 #疲れた日,"selfie-style photo of a 23-year-old Japanese woman standing in front of a full-length mirror near her apartment entrance, slight downward angle, wearing a loose beige knit top and comfortable pants as loungewear, hair slightly messy from a long day, tired but self-accepting gentle smile, warm hallway lighting, Friday night just got home, photorealistic hyperdetailed ultra realistic",グラビア系,平日夜の帰宅後、仕事終わりの疲れと小さな自己肯定が混在した雰囲気。色気と素の感じのバランスを取った。
49,4/18(土),07:30,"休日の朝、布団から出られないまま迎えるコーヒーが最高すぎる☕
髪ぼさぼさでTシャツ1枚だけど…
誰にも見せない顔、ちょっとだけ見せちゃおっかな///

#裏アカOL #休日の朝 #ゆっくり時間",#裏アカOL #休日の朝 #ゆっくり時間,,グラビア系,休日朝の素の雰囲気を引き出し、グラビア系として寝起きの自然な色気を表現。照れ混じりで締めた。
50,4/18(土),12:30,"GWだし久々に水着引っ張り出してみたんだけど…
これほんとに外出れる？笑
鏡の前で固まっちゃった///

#GW #水着 #裏アカ",#GW #水着 #裏アカ,,グラビア系,GW中・昼間。水着試着シーン。自撮り感のあるカジュアルさ。
51,4/18(土),22:00,"お風呂上がりのこの時間が一番すき。
明日から仕事とか考えたくないから、今だけぐだぐださせて？
なにもしない贅沢、伝わるかな///

#休日夜 #お風呂上がり #部屋着 #ぐだぐだ #何もない時間が好き",#休日夜 #お風呂上がり #部屋着 #ぐだぐだ #何もない時間が好き,"selfie-style photo of a 23-year-old Japanese woman standing on a small apartment balcony at night, slight downward angle, hair slightly damp and loose, wearing a soft cream-colored oversized hoodie, cool night breeze blowing hair gently, distant city lights in the background, peaceful Saturday night expression, photorealistic hyperdetailed ultra realistic",グラビア系,休日夜22:00のリアルな気持ちを反映。月曜への緊張感とそれでも甘えたい気持ちのバランスを取った
52,4/19(日),07:30,"こんな丈、会社じゃ絶対はけない笑
休日だけ解禁していい？
ちょっと見せたい気分なの///

#週末コーデ #裏アカOL",#週末コーデ #裏アカOL,,グラビア系,日曜夕方前。ミニスカ脚見せ。「会社では見せない」感を強調。
53,4/19(日),12:30,"仕事帰りのカフェ、窓際でぼーっとしてたら夕陽がいい感じで。
つい撮っちゃった。
疲れた顔も光の力でちょっとだけ盛れてる…よね？
これはこれでありってことにしといて///

#OL #仕事終わり",#OL #仕事終わり,,グラビア系,平日夕方。カフェ窓際。疲れた雰囲気を色気に変換するシーン。
54,4/19(日),22:00,"だんだん暑くなってきて、ついタンクトップ解禁しちゃった…
部屋の中だけだからいいよね？笑
誰にも見せないつもりだったのに、なんか撮りたくなっちゃって///

#部屋着 #裏アカ #夜のお供",#部屋着 #裏アカ #夜のお供,"selfie-style photo of a 23-year-old Japanese woman sitting on her bed with knees drawn up, slight downward angle, wearing a white tank top with a light dusty rose cardigan draped over her shoulders, soft warm bedside lamp, relaxed Sunday night at home, natural casual expression, spring evening warmth, photorealistic hyperdetailed ultra realistic",グラビア系,5月連休明けあたり。タンクトップ露出。「部屋だけ」という言い訳がポイント。
55,4/20(月),07:30,"月曜の朝から背中だけ見せちゃう☀
…続きはnoteに置いてあるよ？
気になった人だけ覗きにきて///

#裏アカ #note",#裏アカ #note,,グラビア系,note誘導投稿。背中ショットで惹かせてnoteへ流す。さりげなく。
56,4/20(月),12:30,"タイトスカートって足のライン出すぎて自分でもドキッとする…
今朝こっそり撮っちゃった📸
こんな格好で満員電車乗ったの、ちょっと恥ずかしかったかも///

#月曜 #OLの朝",#月曜 #OLの朝,,グラビア系,月曜朝投稿。出勤前のオフィスカジュアル際どめ。タイトスカート脚ライン。
57,4/20(月),22:00,"夕陽がきれいすぎて思わずパシャってしたけど…
このキャミ、外には絶対着ていけないやつ///
逆光だからいっか、って自分に言い聞かせてる笑

#ベランダ #夕暮れ",#ベランダ #夕暮れ,"selfie-style photo of a 23-year-old Japanese woman on her apartment balcony during golden hour sunset, slight downward angle, beautiful orange backlight creating a warm glow around her, wearing a light lavender camisole layered under a sheer cream blouse, golden sunset sky behind her, dreamy warm atmosphere, Monday evening, photorealistic hyperdetailed ultra realistic",グラビア系,4月〜5月夕暮れ。ベランダシルエット。キャミ見せ・逆光で自然な色気。
58,4/21(火),07:30,"GWに買った水着、家でこっそり着てみた笑
後ろ姿だけね？
前はもうちょっと先のお楽しみ///

#水着 #GW明け",#水着 #GW明け,,グラビア系,GW後半〜明け。水着後ろ姿。「前はまだ」でじらす演出。
59,4/21(火),12:30,"ランチ休憩入った瞬間ブラウスのボタン1個あけちゃうの、OLあるあるだよね？笑
疲れてる日ほどなぜか胸元ゆるくなる///
今日のオフィスコーデ、ちょっとだけ見てほしくて📸

#OL #スーツ #裏アカ",#OL #スーツ #裏アカ,,グラビア系,平日昼。オフィスコーデ。デスクワーク感＋ブラウス際どめ。ランチタイム投稿。
60,4/21(火),22:00,"残業終わりのコンビニって、なんであんな沁みるんだろ。

夜風が気持ちよくて、ちょっとだけ帰りたくない。
こういう時の自分、嫌いじゃないかも///

#OL #帰り道 #ひとり時間 #夜 #疲れた",#OL #帰り道 #ひとり時間 #夜 #疲れた,,グラビア系,平日夜の帰り道というシチュエーションで、残業明けの少し疲れた感情と、夜のひとり時間の心地よさを両立。グラビア系として自然な夜のムード演出
61,4/22(水),07:30,"出勤前のこの静かな時間だけは誰にも渡したくない。
まだ部屋着のままぼーっとしてるこの感じ…
ここだけの秘密ね？///
さ、今日も行きますか。

#朝活 #出勤前 #OLあるある #平日朝 #部屋着",#朝活 #出勤前 #OLあるある #平日朝 #部屋着,,グラビア系,出勤前の朝の静寂と、仕事へ向かう淡々とした心持ちを表現。グラビア系の照れと日常系の「今日も行くか感」を両立。
62,4/22(水),12:30,"お昼休みの勢いで、ちょっと大胆なやつ撮っちゃった…
UPするか10分くらい迷ったけど、えいって///
こういうの初めてだから、見てくれたらそれだけで嬉しい笑

#裏アカ #はじめて",#裏アカ #はじめて,,グラビア系,「初めて大胆系」演出。裏アカ初々しさを残しつつ、少し踏み込んだ感を出す。
63,4/22(水),22:00,"ひとりで銭湯行くの、最高に贅沢って気づいた。
タオル肩にかけて、うなじ涼しくて。
……このあとが、ね？///

#銭湯 #週末ひとり",#銭湯 #週末ひとり,,グラビア系,土日夜。銭湯上がりシーン。タオルショルダー・うなじ。「このあとが」でじらす。
64,4/23(木),07:30,"朝7時半のホーム、誰も見てないと思って撮った一枚。
寝ぼけ顔なのに、なんかこの時間の自分ちょっと好きなんだよね///
さ、今日も行きますか。

#朝活 #出勤前 #OL #平日 #駅 #朝の顔",#朝活 #出勤前 #OL #平日 #駅 #朝の顔,,グラビア系,出勤前の駅ホームでの自撮り。淡々とした日常感と、ちょっとした色気を両立させた朝のワンシーン。
65,4/23(木),12:30,"いつも見てくれてる人がいるって思うだけで、お昼からちょっとドキドキしてる///
嬉しくて今日は少し攻めちゃった笑
つづきはnoteにそっと置いてあるよ💐

#裏アカ #感謝",#裏アカ #感謝,,グラビア系,ファン感謝＋note誘導。さりげなく。花＋肌見せで特別感を演出。
66,4/23(木),22:00,"いつも見てくれてる人、ほんとにありがとう🌙
最近フォロワーさん増えてきて…嬉しいけどちょっと恥ずかしい///
noteには仕事終わりの素のまき、こっそり置いてます。
気になる人だけ、覗きに来てね？

#裏アカOL #note",#裏アカOL #note,,ファン向け,月曜夜・感謝+note誘導。フォロワー増加のタイミングで投稿するとエンゲージ高め。
67,4/24(金),07:30,"歳上さんの余裕ある感じ、ほんとずるい。
あの落ち着きにふっと甘えたくなるの私だけ？笑
noteに「好きなタイプ」のこと書いてみたから、気になる人は読んでみてね///

#裏アカ #歳上さんが好き",#裏アカ #歳上さんが好き,,ファン向け,火曜夕方・歳上好き設定を前面に。note誘導をさりげなく入れる定番パターン。
68,4/24(金),12:30,"GW明けのランチ、ひとりでぼーっとしてたら優しいメッセージ届いてた。
こういうのがほんとに沁みるんだよね…。
いつも見てくれてるの、ちゃんと気づいてるからね？
ありがとう///

#OL日常 #裏アカOL",#OL日常 #裏アカOL,,ファン向け,GW明け5月初旬の昼。共感+感謝で親近感を演出。返信率を上げる投稿。
